p,d,rows_total,accepted_rows,acceptance_rate,accuracy_on_accepted,pf_rr1
0.82,0.17,272957,4280,0.01568,0.243692,0.322212
0.82,0.19,272957,4280,0.01568,0.243692,0.322212
0.82,0.21,272957,4280,0.01568,0.243692,0.322212
0.82,0.23,272957,4280,0.01568,0.243692,0.322212
0.82,0.25,272957,4280,0.01568,0.243692,0.322212
0.84,0.05,272957,1270,0.004653,0.249606,0.332634
0.84,0.07,272957,1270,0.004653,0.249606,0.332634
0.84,0.09,272957,1270,0.004653,0.249606,0.332634
0.84,0.11,272957,1270,0.004653,0.249606,0.332634
0.84,0.13,272957,1270,0.004653,0.249606,0.332634
0.84,0.15,272957,1270,0.004653,0.249606,0.332634
0.84,0.17,272957,1270,0.004653,0.249606,0.332634
0.84,0.19,272957,1270,0.004653,0.249606,0.332634
0.84,0.21,272957,1270,0.004653,0.249606,0.332634
0.84,0.23,272957,1270,0.004653,0.249606,0.332634
0.84,0.25,272957,1270,0.004653,0.249606,0.332634
0.86,0.05,272957,308,0.001128,0.256494,0.344978
0.86,0.07,272957,308,0.001128,0.256494,0.344978
0.86,0.09,272957,308,0.001128,0.256494,0.344978
0.86,0.11,272957,308,0.001128,0.256494,0.344978
0.86,0.13,272957,308,0.001128,0.256494,0.344978
0.86,0.15,272957,308,0.001128,0.256494,0.344978
0.86,0.17,272957,308,0.001128,0.256494,0.344978
0.86,0.19,272957,308,0.001128,0.256494,0.344978
0.86,0.21,272957,308,0.001128,0.256494,0.344978
0.86,0.23,272957,308,0.001128,0.256494,0.344978
0.86,0.25,272957,308,0.001128,0.256494,0.344978
0.88,0.05,272957,38,0.000139,0.157895,0.1875
0.88,0.07,272957,38,0.000139,0.157895,0.1875
0.88,0.09,272957,38,0.000139,0.157895,0.1875
0.88,0.11,272957,38,0.000139,0.157895,0.1875
0.88,0.13,272957,38,0.000139,0.157895,0.1875
0.88,0.15,272957,38,0.000139,0.157895,0.1875
0.88,0.17,272957,38,0.000139,0.157895,0.1875
0.88,0.19,272957,38,0.000139,0.157895,0.1875
0.88,0.21,272957,38,0.000139,0.157895,0.1875
0.88,0.23,272957,38,0.000139,0.157895,0.1875
0.88,0.25,272957,38,0.000139,0.157895,0.1875
0.9,0.05,272957,0,0.0,0.0,0.0
0.9,0.07,272957,0,0.0,0.0,0.0
0.9,0.09,272957,0,0.0,0.0,0.0
0.9,0.11,272957,0,0.0,0.0,0.0
0.9,0.13,272957,0,0.0,0.0,0.0
0.9,0.15,272957,0,0.0,0.0,0.0
0.9,0.17,272957,0,0.0,0.0,0.0
0.9,0.19,272957,0,0.0,0.0,0.0
0.9,0.21,272957,0,0.0,0.0,0.0
0.9,0.23,272957,0,0.0,0.0,0.0
0.9,0.25,272957,0,0.0,0.0,0.0
0.92,0.05,272957,0,0.0,0.0,0.0
0.92,0.07,272957,0,0.0,0.0,0.0
0.92,0.09,272957,0,0.0,0.0,0.0
0.92,0.11,272957,0,0.0,0.0,0.0
0.92,0.13,272957,0,0.0,0.0,0.0
0.92,0.15,272957,0,0.0,0.0,0.0
0.92,0.17,272957,0,0.0,0.0,0.0
0.92,0.19,272957,0,0.0,0.0,0.0
0.92,0.21,272957,0,0.0,0.0,0.0
0.92,0.23,272957,0,0.0,0.0,0.0
0.92,0.25,272957,0,0.0,0.0,0.0
0.94,0.05,272957,0,0.0,0.0,0.0
0.94,0.07,272957,0,0.0,0.0,0.0
0.94,0.09,272957,0,0.0,0.0,0.0
0.94,0.11,272957,0,0.0,0.0,0.0
0.94,0.13,272957,0,0.0,0.0,0.0
0.94,0.15,272957,0,0.0,0.0,0.0
0.94,0.17,272957,0,0.0,0.0,0.0
0.94,0.19,272957,0,0.0,0.0,0.0
0.94,0.21,272957,0,0.0,0.0,0.0
0.94,0.23,272957,0,0.0,0.0,0.0
0.94,0.25,272957,0,0.0,0.0,0.0
