rows_total,accepted_rows,acceptance_rate,accuracy_all_rows,accuracy_on_accepted,pf_estimate_rr1,pred_Long,pred_Short,pred_None,real_Long,real_Short,real_None,source
8,8,1.0,0.125,0.125,0.142857,8,0,0,1,3,0,predictions_XAUUSD_Minute15_20250126.csv
184,118,0.641304,0.282609,0.271186,0.372093,82,36,0,24,35,0,predictions_XAUUSD_Minute15_20250127.csv
184,66,0.358696,0.206522,0.242424,0.32,26,40,0,16,17,0,predictions_XAUUSD_Minute15_20250128.csv
184,122,0.663043,0.26087,0.262295,0.355556,46,76,0,30,30,0,predictions_XAUUSD_Minute15_20250129.csv
184,112,0.608696,0.25,0.232143,0.302326,42,70,0,34,21,0,predictions_XAUUSD_Minute15_20250130.csv
176,104,0.590909,0.232955,0.269231,0.368421,26,78,0,27,25,0,predictions_XAUUSD_Minute15_20250131.csv
8,8,1.0,0.375,0.375,0.6,8,0,0,3,1,0,predictions_XAUUSD_Minute15_20250202.csv
184,62,0.336957,0.282609,0.209677,0.265306,62,0,0,13,18,0,predictions_XAUUSD_Minute15_20250203.csv
184,91,0.494565,0.271739,0.21978,0.28169,49,42,0,25,21,0,predictions_XAUUSD_Minute15_20250204.csv
184,118,0.641304,0.233696,0.262712,0.356322,28,90,0,30,29,0,predictions_XAUUSD_Minute15_20250205.csv
184,104,0.565217,0.271739,0.240385,0.316456,18,86,0,26,26,0,predictions_XAUUSD_Minute15_20250206.csv
176,137,0.778409,0.244318,0.240876,0.317308,27,110,0,32,36,0,predictions_XAUUSD_Minute15_20250207.csv
8,5,0.625,0.5,0.6,1.5,5,0,0,3,0,0,predictions_XAUUSD_Minute15_20250209.csv
184,98,0.532609,0.206522,0.183673,0.225,0,98,0,31,18,0,predictions_XAUUSD_Minute15_20250210.csv
184,80,0.434783,0.282609,0.2375,0.311475,30,50,0,22,18,0,predictions_XAUUSD_Minute15_20250211.csv
184,124,0.673913,0.23913,0.241935,0.319149,20,104,0,32,30,0,predictions_XAUUSD_Minute15_20250212.csv
184,130,0.706522,0.228261,0.223077,0.287129,0,130,0,36,29,0,predictions_XAUUSD_Minute15_20250213.csv
176,147,0.835227,0.255682,0.231293,0.300885,27,120,0,36,37,0,predictions_XAUUSD_Minute15_20250214.csv
